PWN Id,English lemmas,English gloss,English examples,Arabic lemmas or Gap,Arabic gloss,Arabic exampes
114423,"caramelize, caramelise",be converted into caramel,The sugar caramelized,كَرْمَلَ,يطبخ السكر على النار بهدوء حتى يذوب ويتحول إلى سائل بني ذهبي سميك,تكرمل السكر
114645,convert,"change in nature, purpose, or function; undergo a chemical change",The substance converts to an acid, يتحول ,يصبح مختلفاً في طبيعته أو شكله أو وظيفته بسبب تغير كيميائي,يتحول البيتا كاروتين إلى فيتامين A داخل الجسم
114965,convert,"change the nature, purpose, or function of something",convert lead into gold; convert hotels into jails; convert slaves to laborers,"حَوَّلَ, تَحَوَّلَ","يتغير الشيء، أو يجعله يتغير، في الشكل والطبيعة والوظيفة ",يحول العبيد إلى عمال. يحول الأسهم إلى كاش. يتحول من معتقد ديني إلى آخر
117793,"remain, rest, stay",stay the same; remain in a certain state,The dress remained wet after repeated attempts to dry it; rest assured; stay alone; He remained unmoved by her tears; The bad weather continued for another week,"بَقِيَ, ظَلَّ",يستمر على نفس الحال أو في نفس المكان,بقي صامتاً طوال الوقت. سأظل بانتظارك هنا.
118572,"keep up, keep abreast, follow",keep informed,He kept up on his country's foreign policies,تَابَعَ,يبقى على اطلاع ويواكب أحدث المستجدات حول موضوع ما أو حالة معينة,يتابع آخر الأخبار .سأتابع حالة المريض بنفسي. 
119681,mutate,undergo mutation,cells mutate, تحوّرَ ,يتبدل من شيء إلى شيء آخر مختلف,جينات متحورة. خلايا متحورة
120124,"make, get",give certain properties to something,get someone mad; She made us look silly; He made a fool of himself at the meeting; Don't make this into a big deal; This invention will make you a millionaire; Make yourself clear,جَعَلَ,يعطي خصائص وصفات معينة لشيء أو شخص,جعل من نفسه أحمقاً بهذا التصرف. جعلني هذا العمل متعَباً
120483,render,cause to become,The shot rendered her immobile,جَعَلَ,يتسبب في تغير الحال لحال آخر,وقاحته جعلتني عاجزاً عن الكلام. المطر الكافي يجعل الري غير ضروري
122978,"change, vary, alter","make or become different in some particular way, without permanently losing one's or its former characteristics or essence",her mood changes in accordance with the weather; The supermarket's selection of vegetables varies according to the season,"تَفَاوَتَ , اِخْتَلَفَ, غَيَّر, تَغَيَّرَ",يجعل أو يصبح مختلفاً بطريقة معينة دون فقدان الخصائص الجوهرية بشكل دائم,يتغير مزاجي بحسب الطقس. يختلف السعر من متجر لآخر. تتفاوت أنواع الفواكه بحسب الموسم. يغير مكان وظيفته من حين لآخر
124034,"optimize, optimise",modify to achieve maximum efficiency in storage capacity or time or cost,optimize a computer program,حَسَّنَ,يُعدّل الشيء حتى يصبح أكثر كفاءة وفعالية في التخزين أوالاستطاعة أو الزمن أو الكلفة,حسّن نظام الهاتف الجوال فصار يعمل بسلاسة أكبر
125255,"glass over, glaze over, glaze, glass",become glassy or take on a glass-like appearance,Her eyes glaze over when she is bored,زَجَّجَ,"يصبح شكله مصقولاً كالزجاج، جامداً تنقصه الحيوية",تزججت عيناها بسبب قلة النوم
125649,"grow, turn","pass into a condition gradually, take on a specific property or attribute; become",The weather turned nasty; She grew angry,"تَبَدَّلَ،  أصبح ",يتحول إلى حال آخر تدريجياً وتصبح له خصائص معينة,تبدل الجو مساء من الحار إلى المعتدل. أصبحت غاضبة لأنه تأخر عليها
126072,"change, alter, modify",cause to change; make different; cause a transformation,The advent of the automobile may have altered the growth pattern of the city; The discussion has changed my thinking about the issue,"غَيَّرَ, قَلَبَ, عَدَّلَ",يجعل الشيء مختلفاً,كلامه غير رأيي تماماً. قلب سلوكه إلى الأفضل. عدّل علاماته بإعادة الامتحان
134372,"barbarise, barbarize",become crude or savage or barbaric in behavior or language,,تَهَمَّجَ,"يصبح همجياً، متوحشاً، قاسياً في سلوكه وكلامه",تهمج بسبب السنوات التي قضاها في السجن
135665,"land, bring",bring into a different state,this may land you in jail,"وَصَلَ, أَخَذَ",يأتي ( أو يأتي به ) إلى مكان ما أو يجعله في حالة معينة,أوصَلَ التقرير إلى مكتبي. هذا التصرف سيأخذك إلى السجن
136608,equilibrate,bring to a chemical stasis or equilibrium,,وَازَنَ,يجعله في حالة توازن واستقرار كيميائي,يوازن عدد ذرات العناصر في كلا طرفي التفاعل
136799,"leave, leave alone, leave behind",leave unchanged or undisturbed or refrain from taking,leave it as is; leave the young fawn alone; leave the flowers that you see in the park behind,تَرَكَ,يترك الشيء كما هو دون أن يغيره أو يأخذه,سافر وترك وراءه أهله. أعتقد أنني تركت مفاتيحي في المنزل. اترك الورود التي تراها في الحديقة
137133,"bear upon, impact, bear on, touch on, touch, affect",have an effect upon,Will the new rules affect me?," أَثَّرَ عَلَى, أَثَّرَ فِي",يكون له تأثير في شيء أو شخص ويحدث فيه تغييراً,أثّر عليه الطقس البارد فمرض. بكاؤها أثّر فيه كثيراً. 
138328,"change by reversal, turn, reverse",change to the contrary,The trend was reversed; the tides turned against him; public opinion turned when it was revealed that the president had an affair with a White House intern,"اِنْقَلَبَ, اِنْعَكَسَ",يتغير إلى حال عكس الذي كان عليه,انقلبت الأمور على عكس ما أريد. انعكست حيلته عليه في النهاية
139943,change integrity,change in physical make-up,,تَغَيَّرَ,"تتحول صفة أو أكثر من صفات الشيء أو حلول صفة محل أخرى، مع تغير في الشكل العام",
140787,"deform, change shape, change form",assume a different shape or form,,تَبَدَّلَ,يتخذ شكلاً آخر أو صيغة مختلفة,يتبدل شكل البلاستيك بالحرارة
142011,"shape, form",give shape or form to,shape the dough; form the young child's character,"صَاغَ, شَكَّلَ",يعطي شكلاً أو صيغة معينة لشيء أو شخص ,يصوغ الذهب إلى سبائك. يشكّل العجين إلى أقراص. يجب أن نشكل شخصية الطفل منذ الصغر
143158,draw,"flatten, stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching",draw steel,سَحَب,يصقل أو يشد أو يشكل المعدن أو الزجاج عن طريق دحرجتها وسحبها من خلال قالب أو عن طريق السحب,يسحب الأسلاك أو المواسير أو القضبان.
143734,twist,form into twists,Twist the strips of dough,لَفَّ,يشكل الشيء في لفائف,لفّت شرائط العجين على بعضها. 
145958,"change state, turn",undergo a transformation or a change of position or action,We turned from Socialism to Capitalism; The people turned against the President when he stole the election,"اِنْقَلَبَ, تَحَوَّلَ",يخضع لتحول أو تغير في الحال أو الأفعال,انقلب الناس ضد الحاكم عندما اكتشفوا عدم نزاهته. تحوَّل الماء إلى بخار عند الغليان
147635,fall,pass suddenly and passively into a state of body or mind,fall into a trap; She fell ill; They fell out of favor; Fall in love; fall asleep; fall prey to an imposter; fall into a strange way of thinking; she fell to pieces after she lost her work,وَقَع,يمرّ فجأة وبشكل سلبي في حالة معينة جسدية أو ذهنية أو عاطفية,وقع تحت تأثير المخدر. وقع في الحب. وقع نائماً. وقع فريسة.
148583,suspend,cause to be held in suspension in a fluid,suspend the particles,عَلَّقَ,يصنع خليطاً غير متجانس يحتوي على مادة صلبة غير ذائبة وإنما معلقة في السائل,يعلَّق الدواء غالباً عند الاستخدام
149403,"become, go, get",enter or assume a certain state or condition,He became annoyed when he heard the bad news; It must be getting more serious; her face went red with anger; She went into ecstasy; Get going!,"أَصْبَحَ, صَارَ","يدخل في حالة الوجود، أو يتغير إلى حال آخر، أو يتخذ وضعاً معيناً",أرغب أن أصبح طبيباً. صار العنب حلواً
