Id,English lemmas,English gloss,English examples,Arabic lemmas (by the translator),Arabic gloss,Arabic exampes,Deleted lemmas,New lemmas,Phrase,(Synset after cleaning_cleaned lemmas) or GAP
75174,"wash up, beat, exhaust, tucker, tucker out",wear out completely,This kind of work exhausts me; I'm beat; He was all washed up after the exam,"اِسْتَنْفَدَ, اِسْتَنْزَفَ, [أجْهَدَ], [أنْهَكَ]",يستهلك القوة والطاقة بشكل كامل,استنفد العمل ليلاً قواه. استُنزِفتُ تماماً أثناء الامتحانات," أجْهَدَ ,  أنْهَكَ ",,,"اِسْتَنْفَدَ, اِسْتَنْزَفَ"
77891,freeze,be cold,I could freeze to death in this office when the air conditioning is turned on,"[جَمَدَ], تَجَلَّدَ, تَجَمَّدَ, [تَثَلَّجَ]",يفقد الحرارة ويصبح بارداً جداً,"تجلّد الطعام في الثلاجة. شغل التدفئة، أكاد أتجمد من البرد"," جَمَدَ ,  تَثَلَّجَ ",,,"تَجَلَّدَ, تَجَمَّدَ"
78154,suffer,feel unwell or uncomfortable,She is suffering from the hot weather,"عَانَى,[ قَاسَى]",يشعر بأنه في حال سيئة وغير مرتاح,أعاني من شدة الحر. هذا الموظف يعاني من قسوة المدير,  قَاسَى ,,,عَانَى
78513,"treat, care for",provide treatment for,The doctor treated my broken leg; The nurses cared for the bomb victims; The patient must be treated right away or she will die; Treat the infection with antibiotics,"[داوَى], عَالَجَ",يُزوِّد بالعلاج لمن يعاني من المرض أو الإصابات,يعالجه الأطباء من مرض نادر. يتم علاج الالتهاب بالمضاد الحيوي, داوَى ,,,عَالَجَ
80825,"administer, dispense",give or apply (medications),,"[أَعْطَى], [صَرَفَ دَوَاء], ",يصف أو يعطي الدواء للمريض,يتدرب المسعفون على كيفية إعطاء الأدوية للمرضى," أَعْطَى ,  صَرَفَ دَوَاء , ",,أَعْطَى دَوَاء,GAP
83562,"operate on, operate",perform surgery on,The doctors operated on the patient but failed to save his life,"[عَمِلَ عَمَلاً جِرَاحِيَّاً], ",يقوم بإجراء عملية جراحية,سيتم إجراء عملية جراحية لي لاستئصال اللوزات," عَمِلَ عَمَلاً جِرَاحِيَّاً , ",,أَجْرَى عَمَلِيَّة جِرَاحِيَّة,GAP
83983,"medicine, medicate","treat medicinally, treat with medicine",,"دَاوَى, [عَالَجَ], [طَبَّبَ]",يعالج المرض باستخدام الدواء والعقاقير,داوت الممرضة الجرح بتعقيمه ووضع المراهم عليه," عَالَجَ ,  طَبَّبَ ",,,دَاوَى
84491,"drug, dose",administer a drug to,They drugged the kidnapped tourist,"[جَرَّعَ], [أَعْطَى دَوَاء], [أَعْطَى جُرْعَة دَوَاء], , [أَعْطَى جُرْعَة]",يعطي جرعة من دواء أو عقار ما للشخص,أعطوه عقاراً منوماً ليخطفوه.," جَرَّعَ ,  أَعْطَى دَوَاء ,  أَعْطَى جُرْعَة دَوَاء , ,  أَعْطَى جُرْعَة ",,أَعْطَى عَقَارَاً,GAP
87206,"sicken, come down",get sick,"She fell sick last Friday, and now she is in the hospital",مَرِضَ,يصبح مريضاً وفي حالة صحية غير جيدة,مرِضتُ بسبب عدوى أصابتني,,,,مَرِضَ
88091,poison,administer poison to,She poisoned her husband but he did not die,سَمَّمَ,يضع السم ويعطيه للشخص ليتناوله,سمموه بِدَسّ السم في طعامه,,,,سَمَّمَ
89076,disinfect,destroy microorganisms or pathogens by cleansing,disinfect a wound,عَقَّمَ,ينظِّف باستخدام المواد الكيماوية التي تقتل البكتيريا والفيروسات,يجب تعقيم الأدوات قبل العمل الجراحي,,,,عَقَّمَ
89938,"traumatize, shock, traumatise",inflict a trauma upon,,"[رَضَّ], صَدَمَ,[ كَدَمَ]","يُحدث ضربة كبيرة ومؤثرة، جسدياً أو ذهنياً على أحدهم.",ما زالت مصدومة من تجربة في طفولتها. صدمه بالعصا على رأسه وسبب له الإغماء," رَضَّ ,   كَدَمَ ",,,صَدَمَ
90460,"mutilate, mar",destroy or injure severely,mutilated bodies,"شَوَّهَ,[ جَدَعَ], مَثَّلَ, [بَتَرَ]",يؤذي ويدمر بشكل عنيف بإزالة أجزاء من الشيء,جثث مشوهة. لا يجوز التمثيل بالحيوان الميت. ,"  جَدَعَ ,   بَتَرَ ",,,"شَوَّهَ، مَثَّلَ"
90640,maim,injure or wound seriously and leave permanent disfiguration or mutilation,people were maimed by the explosion,"شَوَّهَ, [مَسَخَ]",يتسبب بإصابة شديدة في أحد أعضاء الجسد ويترك علامة أو عاهة مستديمة تعطله عن العمل للأبد,شوه المجرم وجه الشخص بالسكين . تشوه جسده بعد انفجار اللغم فيه,  مَسَخَ ,,,شَوَّهَ
90876,"wrick, rick, sprain, twist, wrench, turn",twist suddenly so as to sprain,wrench one's ankle; The wrestler twisted his shoulder; the hikers sprained their ankles when they fell; I turned my ankle and couldn't walk for several days,"لَوَى, [خَلَعَ], [وَثَأَ]",يثني شيئاً فجأة وبشكل عنيف حتى يتسبب له بالالتواء والإصابة,لوى اللاعب كاحله أثناء تسجيل الهدف. التوت ركبته أثناء الجري,"  خَلَعَ ,  وَثَأَ ",,,لَوَى
91399,"cripple, lame","deprive of the use of a limb, especially a leg",The accident has crippled her for life,"[عَطَّلَ]، شَلَّ،  [أَقْعَدَ]",يحرمه من استخدام أحد أطرافه بسبب إصابة ( وخاصة الساق ),شل الحادث ساقيه. أصابه الحادث بعرج في ساقيه مدى الحياة. ," عَطَّلَ ،   أَقْعَدَ ",,أَصَابَ بِعَرَج,شَلَّ
91720,"disable, invalid, handicap, incapacitate",injure permanently,He was disabled in a car accident,"أَعْجَزَ, أَعَاقَ, [عَطَّلَ], [أَفْقَدَ أَهْلِيَّة], [أَقْعَدَ]",يصيبه إصابة يعجز معها عن الحركة بطريقة طبيعية بشكل دائم,أعجزت الضربة حركة ذراعه للأبد. أصبح معاقاً بسبب الحادث," عَطَّلَ ,  أَفْقَدَ أَهْلِيَّة ,  أَقْعَدَ ",,,"أَعْجَزَ, أَعَاقَ"
92045,"deteriorate, drop, degenerate, devolve",grow worse,Her condition deteriorated; Conditions in the slums degenerated; The discussion devolved into a shouting match,"تَدَهْوَرَ, سَاءَ",يتراجع وضعه ويصبح أسوأ,تدهورت الأوضاع الاقتصادية في الآونة الأخيرة. ساءت أحواله الصحية ودخل المشفى,,,,"تَدَهْوَرَ, سَاءَ"
92442,"convalesce, recuperate, recover",get over an illness or shock,The patient is recuperating,"تَعَافَى, [اِسْتَعَادَ عَافِيَتَه],[ تَمَاثَلَ للشِفَاء], [شُفِيَ],[ تَشَافَى]",يتغلب على مرض أو صدمة ويصبح أفضل وأقوى,تعافى بعد أيام من إصابته بالمرض. ,"  اِسْتَعَادَ عَافِيَتَه ,  تَمَاثَلَ للشِفَاء ,  شُفِيَ ,  تَشَافَى ",,,تَعَافَى
93079,"regress, recidivate, lapse, retrogress, fall back, relapse",go back to bad behavior,Those who recidivate are often minor criminals,"[عَادَ]، (انتكس )","عاد وتراجع عما كان عليه من خير، وتغير من الجيد إلى السيء",تقدم المريض لفترة ولكنه انتكس وتراجعت صحته, عَادَ , انتكس  ,,انتكس 
94214,"acquire, grow, get, develop, produce",come to have or undergo a change of (physical features and attributes),He grew a beard; The patient developed abdominal pains; I got funny spots all over my body; Well-developed breasts,ظَهَرَ,يطرأ عليه تغيرات ذات خصائص ومعالم جسدية,ظهرت بعض الحبوب على وجهي. ظهرت معالم الصبا عليها,,,,ظَهَرَ
97375,"regenerate, revitalize",restore strength,This food revitalized the patient,جَدَّدَ,يُعيد القوة والطاقة والحيوية التي فقدها لفترة,الماء البارد جدد لها الانتعاش بعد مشي طويل,,,,جَدَّدَ
99475,"exercise, work out",do physical exercise,She works out in the gym every day,"[تَرَيَّضَ], [تَدَرَّبَ], تَمَرَّنَ",يقوم بحركات رياضية لتقوية الجسد والحفاظ على الصحة,أحب أن أتمرن صباحاً قبل الإفطار," تَرَيَّضَ ,  تَدَرَّبَ ",,,تَمَرَّنَ
99798,train,exercise in order to prepare for an event or competition,She is training for the Olympics,تَدَرَّبَ,"يُحضّر نفسه لوظيفة، نشاط، أو رياضة من خلال تعلّم المهارات أو بالتمرين الجسدي أو الذهني",إنه يتدرب من أجل مباراة كرة القدم. أتدرب تحضيراً للامتحان القادم.,,,,تَدَرَّبَ
100305,"work, work out, exercise",give a workout to,Some parents exercise their infants; My personal trainer works me hard; work one's muscles,"دَرَّبَ, [شَغَّلَ]، ( مرّن )","يساعد ويمرّن المتدرب على أداء التمارين الرياضية، أو يعطيه التمارين ليقوم بها",تمرّن الأم ساقي طفلها الرضيع. سأدرب عضلات ذراعي لتصبح أقوى,  شَغَّلَ ,,,"دَرَّبَ,  مرّن "
102340,harm,cause or do harm to,These pills won't harm your system,"أضّرَّ, [ضَرَّ],[ آذى]",يسبب الضرر والأذى لشيء أو شخص,"قطعة صغيرة لن تضر حميتك. يمكننا مساعدتك، لن يضرك السؤال"," ضَرَّ ,  آذى ",,,أضّرَّ
103071,"blush, crimson, flush, redden","turn red, as if in embarrassment or shame",The girl blushed when a young man whistled as she walked by,"اِحْمَرَّ, [خَجِلَ]",تصبح الخدود باللون الوردي بسبب الارتباك عادة,احمرت خجلاً عندما صعدت وتحدثت على الملأ, خَجِلَ ,,,اِحْمَرَّ
103373,"pale, blanch, blench","turn pale, as if in fear",,"شَحِبَ, اِصْفَرَّ",يفقد لون الجلد الطبيعي ويتحول إلى الأصفر أو الباهت بسبب المرض أو الخوف,شحِب وجهه بسبب إصابته بفقر الدم. سمع أصواتاً مخيفة في الخارج فاصفرّ وجهه ,,,,"شَحِبَ, اِصْفَرَّ"
103495,etiolate,make pale or sickly,alcohol etiolates your skin,Gap,يتسبب في فقدان اللون الطبيعي للبشرة أو النبات ويحولها إلى لون مصفرّ أو باهت بسبب المرض أو نقص التغذية,جعله المرض يبدو شاحباً. نقص ضوء الشمس جعل النبتة شاحبة,,,جَعَلَه شَاحِبَاً,GAP
104622,"discharge, expel, eject, release",eliminate (substances) from the body,,"[قَذَفَ], [أَطْلَقَ], [أَنْزَلَ],[ طَرَدَ],[ فَرَّغَ], أَخْرَجَ",يخرج مواد سائلة أو صلبة أو غازية من أجزاء من الجسد ,كان يُخرِج الدم من أنفه. يخرج الطفل فضلاته في الحفاظ," قَذَفَ ,  أَطْلَقَ ,  أَنْزَلَ ,  طَرَدَ ,  فَرَّغَ ",,,أَخْرَجَ
105087,"emit, pass off, breathe",expel (gases or odors),,"[أَخْرَجَ], [نَفَثَ], زَفَرَ,[ أَطْلَقَ]",يطلق الهواء أو الروائح أثناء الزفير,لا يمكنني الخروج من المنزل لأنني أزفر رائحة الثوم. ," أَخْرَجَ ,  نَفَثَ ,   أَطْلَقَ ",,,زَفَرَ
106714,"run over, run down","injure or kill by running over, as with a vehicle",,"[دَاسَ], دَهَسَ",يتسبب في إصابة كائن حي أو قتله بسبب المرور عليه ودهسه بالمركبة مثلاً,دهستُ الحشرة بقدمي. , دَاسَ ,,,دَهَسَ
107543,"break, fracture",fracture a bone of,I broke my foot while playing hockey,كَسَرَ,يكسر عظمة في جسده أثناء نشاط ما,كسر قدمه أثناء لعب الكرة,,,,كَسَرَ
107747,fracture,break (a bone),She broke her clavicle,كَسَرَ,يكسر عظمة,كسر يده عندما وقع عليها,,,,كَسَرَ
109468,change,undergo a change; become different in essence; losing one's or its original nature,She changed completely as she grew older; The weather changed last night,"تَبَدَّلَ, تَغَيَّرَ","يصبح مختلفاً في جوهره، ويطرأ عليه تغيرات كثيرة، ويفقد طبيعته الأساسية",تبدلت أحواله كلياً وأصبح غنياً. تغير الجو عما كان عليه الشهر الماضي,,,,"تَبَدَّلَ, تَغَيَّرَ"
