PWN Synset ID,English lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic gloss,Arabic examples,Phrase
63834,record,an extreme attainment; the best (or worst) performance ever attested (as in a sport),he tied the Olympic record; coffee production last year broke all previous records; Chicago set the homicide record,رَقْم قِيَاسِي,بلوغ الرقم الأعلى ( سواءً أفضل أم أسوأ) في منافسة ما لم يتحقق من قبل (كما في الرياضة),تعتبر موسوعة غينيس هي الكتاب الرسمي للأرقام القياسية التي تتحقق في العالم,
64472,success,an attainment that is successful,his success in the marathon was unexpected; his new play was a great success,"فَوْز, نَجَاح",الوصول إلى النتائج المرجوة وتحقيق الأهداف,أحرزالفريق فوزاً تاريخياً. حققت المسرحية نجاحاً على مستوى عالٍ.,
65324,"smash, strike, hit, smasher, bang",a conspicuous success,that song was his first hit and marked the beginning of his career; that new Broadway show is a real smasher; the party went with a bang,"ضَرْبَة نجاح,نَجَاح بَاهِر",إنجاز يُعرف وينتشر على نطاق واسع,كانت الأغنية أول ضربة نجاح له في بداياته. حقق المسلسل نجاحاً باهراً في الوطن العربي.,
67036,"nonachievement, nonaccomplishment",an act that does not achieve its intended goal,,فَشَل,العملية التي لا تنجح في الوصول إلى الهدف المطلوب,الإخفاق في الامتحان لا يعني الفشل أبداً,
67217,failure,an unexpected omission,he resented my failure to return his call; the mechanic's failure to check the brakes,إِخْفَاق,خطأ ناتج عن إهمال,إخفاق الميكانيكي في صيانة الآلة أدى إلى تعطيلها,
67456,failure,an act that fails,his failure to pass the test,"فَشَل, إِخْفَاق",العملية التي لا تنجح في أداء مهمة ,باءت  جهوده في الإصلاح  بالفشل. كانت النتيجة هي الإخفاق في الامتحان.,
68346,loss,the act of losing,everyone expected him to win so his loss was a shock,خَسَارَة,عملية عدم الفوز في منافسة ما ,توقعنا خسارة فريقنا لأن الخصم كان قوياً جداً,
68527,"surrender, capitulation, fall",the act of surrendering (under agreed conditions),they were protected until the capitulation of the fort,"اِسْتِسْلام, سُقُوط",عملية قبول الهزيمة,انسحاب القوات العسكرية يمثل استسلاماً للإرهاب. من أسباب سقوط الدول حدوث الانقلابات.,
71461,"motivating, motivation",the act of motivating; providing incentive,," تَحْفِيز ,دافع",الحاجة أو السبب وراء أمر ما,"الخوف من الفشل كان تحفيزاً له ليستمر في الاجتهاد، كان هذا دافعاً قوياً لأفعل ما فعلت",
71785,"error, mistake, fault",a wrong action attributable to bad judgment or ignorance or inattention,he made a bad mistake; she was quick to point out my errors; I could understand his English in spite of his grammatical faults, خَطَأ,,,تصرف خاطئ
73081,"spot, smear, smirch, stain, blot",an act that brings discredit to the person who does it,he made a huge blot on his copybook,وَصْمَة عَار,فعل يلحق بصاحبه العار أو السمعة السيئة,تقارير جديدة تطيح بالعديد من المسؤولين وتلحق بهم وصمة عار,
75344,"oversight, lapse",a mistake resulting from inattention,, سَهْو,الخطأ الناتج عن قلة الانتباه ,لم تكن عدم دعوتهم لحضور المؤتمر مجرد سهو,
75444,"omission, skip",a mistake resulting from neglect,,إِغْفَال,الخطأ الناتج عن عدم الاكتراث أو التجاهل,يجب عدم إغفال صيانة أجزاء السيارة باستمرار ,
75610,"boner, foul-up, boo-boo, flub, botch, blunder, blooper, bungle, pratfall, fuckup, bloomer",an embarrassing mistake,,خطأ فادح,خطأ جسيم,تم اكتشاف أخطاء فادحة في المقال المترجم,
78239,acquisition,the act of contracting or assuming or acquiring possession of something,the acquisition of wealth; the acquisition of one company by another,تَمَلُّك,عملية اكتساب ملكية شيء ما أو الحصول عليه بموجب عقد ,يسمح للأجانب في مدينة دبي بتملك العقارات في مناطق التملك الحر,
79838,purchase,the acquisition of something for payment,they closed the purchase with a handshake,شِرَاء,حيازة شيء ما مقابل دفع مبلغ مالي,تمكنا أخيراً من شراء سيارة بعد ادخار الكثير من المال,
80032,"redemption, buyback, repurchase",the act of purchasing back something previously sold,,إِعَادَة شِرَاء,عملية إعادة شراء شيء ما تم بيعه مسبقاً ,أعلنت الشركة خطة جديدة لإعادة شراء أسهم بقيمة 700 مليون دولار ,
80218,trading,buying or selling securities or commodities,, تِجَارَة,بيع وشراء الخدمات أو السلع,تتطلب التجارة التخطيط السليم واتباع استراتيجيات التسويق الحديثة,
81563,"call, call option",the option to buy a given stock (or stock index or commodity future) at a given price before a given date,,تَسَوُّق,عمليات الشراء والبحث عن المنتجات والخدمات المتاحة,يوجد العديد من مواقع التسوق الالكتروني العالمية التي تهتم بالمنتجات الرياضية,
82392,"purchasing, buying",the act of buying,buying and selling fill their days; shrewd purchasing requires considerable knowledge,خيار الشراء,خيار الشراء هو عقد يسمح لحامله بشراء أصل ما خلال فترة محددة بسعر محدد. ,يمكنك الحصول على خيار الشراء إذا كنت تعتقد أن السعر الأساسي سينخفض.,
82656,shopping,searching for or buying goods or services,went shopping for a reliable plumber; does her shopping at the mall rather than down town,شِرَاء,عملية الحصول على شيء ما مقابل مبلغ مالي,من أهم قواعد التغذية السليمة تجنب شراء الأطعمة مجهولة المصدر ,
84080,assumption,the act of assuming or taking for granted,your assumption that I would agree was unwarranted,فرضيّة,عملية اعتبار صحة شيء ما أو التسليم به,أثبتت البراهين صحة الفرضيات التي قدمها الباحث مسبقاً,
84405,"inheritance, heritage",hereditary succession to a title or an office or property,,"إِرْث, مِيرَاث",مايتركه الشخص من منصب أو لقب أو ممتلكات قبل وفاته,يحق للمورّث في الولايات المتحدة ترك وصية بكامل مايملك كما يمكنه أن يحرم أبناءه من كامل الإرث. ترك الوالد ميراثاً ضخماً لعائلته,
